track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,,mode,speechiness,tempo,time_signature,track_href,,valence,,,
Boulevard of Broken Dreams,0.00552,0.496,262333,0.682,5GorCbAP4aL0EJ16frG2hd,2.94E-05,8,0.0589,-4.095,,1,0.0294,167.06,4,https://api.spotify.com/v1/tracks/5GorCbAP4aL0EJ16frG2hd,,0.474,,,
Not Ready to Make Nice,0.134,0.425,237296,0.554,6LCEyZZHFF4ebF1Mike1s5,8.56E-05,6,0.0963,-4.145,,1,0.0298,83.917,4,https://api.spotify.com/v1/tracks/6LCEyZZHFF4ebF1Mike1s5,,0.288,,,
Rehab,0.0473,0.434,213760,0.872,1L5tZi0izXsi5Kk5OJf4W0,1.83E-06,0,0.396,-2.974,,1,0.0702,71.515,4,https://api.spotify.com/v1/tracks/1L5tZi0izXsi5Kk5OJf4W0,,0.732,,,
Please Read The Letter,0.224,0.519,353226,0.522,1m5N9YCZL4BXuSXdYmhRaj,0.342,9,0.165,-8.626,,1,0.0376,144.201,4,https://api.spotify.com/v1/tracks/1m5N9YCZL4BXuSXdYmhRaj,,0.442,,,
Use Somebody,0.00552,0.276,230760,0.715,5VGlqQANWDKJFl0MBG3sg2,0.000417,0,0.201,-5.356,,1,0.0432,137.028,4,https://api.spotify.com/v1/tracks/5VGlqQANWDKJFl0MBG3sg2,,0.173,,,
Rolling in the Deep,0.131,0.729,228293,0.756,1CkvWZme3pRgbzaxZnTl5X,0,8,0.0527,-5.119,,1,0.0294,104.945,4,https://api.spotify.com/v1/tracks/1CkvWZme3pRgbzaxZnTl5X,,0.522,,,
Somebody That I Used To Know - feat. Kimbra,0.565,0.857,244973,0.517,4wCmqSrbyCgxEXROQE6vtV,0.000195,0,0.102,-6.972,,1,0.0384,129.063,4,https://api.spotify.com/v1/tracks/4wCmqSrbyCgxEXROQE6vtV,,0.754,,,
Get Lucky,0.0378,0.81,369626,0.793,69kOkLUCkxIZYexIgSG8rq,1.82E-06,6,0.072,-9.404,,0,0.0403,116.049,4,https://api.spotify.com/v1/tracks/69kOkLUCkxIZYexIgSG8rq,,0.863,,,
Stay With Me,0.588,0.418,172723,0.42,5Nm9ERjJZ5oyfXZTECKmRt,6.39E-05,0,0.11,-6.444,,1,0.0414,84.094,4,https://api.spotify.com/v1/tracks/5Nm9ERjJZ5oyfXZTECKmRt,,0.184,,,
Uptown Funk,0.00801,0.856,269666,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15E-05,0,0.0344,-7.223,,1,0.0824,114.988,4,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,,0.928,,,
Hello,0.336,0.481,295493,0.451,4sPmO7WMQUAf45kwMOtONw,0,5,0.0872,-6.095,,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,,0.289,,,
24K Magic,0.034,0.818,225983,0.803,6b8Be6ljOzmkOmFslEb23P,0,1,0.153,-4.282,,1,0.0797,106.97,4,https://api.spotify.com/v1/tracks/6b8Be6ljOzmkOmFslEb23P,,0.632,,,
Beautiful Day,0.0144,0.537,248066,0.921,1VuBmEauSZywQVtqbxNqka,0.00479,2,0.382,-6.474,,1,0.0481,136.264,4,https://api.spotify.com/v1/tracks/1VuBmEauSZywQVtqbxNqka,,0.467,,,
Need You Now,0.0927,0.587,277573,0.622,11EX5yhxr9Ihl3IN1asrfK,0.000636,4,0.2,-5.535,,1,0.0303,107.943,4,https://api.spotify.com/v1/tracks/11EX5yhxr9Ihl3IN1asrfK,,0.231,,,
Almost Like Praying (feat. Artists for Puerto Rico),0.0198,0.471,200457,0.791,3dskm5fAe8OkBtM9E0VVWx,0,5,0.232,-3.373,,0,0.238,188.36,4,https://api.spotify.com/v1/tracks/3dskm5fAe8OkBtM9E0VVWx,,0.507,,,
Redbone,0.172,0.745,326933,0.356,3kxfsdsCpFgN412fpnW85Y,0.00943,1,0.123,-10.425,,1,0.0941,160.033,4,https://api.spotify.com/v1/tracks/3kxfsdsCpFgN412fpnW85Y,,0.607,,,
Mask Off,0.0102,0.833,204600,0.434,0VgkVdmE4gld66l8iyGjgx,0.0219,2,0.165,-8.795,,1,0.431,150.062,4,https://api.spotify.com/v1/tracks/0VgkVdmE4gld66l8iyGjgx,,0.281,,,
It Ain’t Me (with Selena Gomez),0.119,0.64,220780,0.533,12GEpg2XOPyqk03JZEZnJs,0,0,0.0864,-6.596,,1,0.0706,99.968,4,https://api.spotify.com/v1/tracks/12GEpg2XOPyqk03JZEZnJs,,0.515,,,
Castle on the Hill,0.0232,0.461,261153,0.834,6PCUP3dWmTjcTtXY02oFdT,1.14E-05,2,0.14,-4.868,,1,0.0989,135.007,4,https://api.spotify.com/v1/tracks/6PCUP3dWmTjcTtXY02oFdT,,0.471,,,
Drowning (feat. Kodak Black),0.501,0.839,209269,0.81,1f5cbQtDrykjarZVrShaDI,0,5,0.117,-5.274,,0,0.0568,129.014,4,https://api.spotify.com/v1/tracks/1f5cbQtDrykjarZVrShaDI,,0.814,,,
Everyday We Lit (feat. PnB Rock),0.128,0.758,197170,0.646,4PzovBqgnSHKd8opsP7IVM,0,7,0.0778,-4.701,,1,0.112,155.955,4,https://api.spotify.com/v1/tracks/4PzovBqgnSHKd8opsP7IVM,,0.589,,,
Now Or Never,0.107,0.67,214801,0.585,7i2DJ88J7jQ8K7zqFX2fW8,1.11E-06,6,0.131,-4.861,,0,0.0354,110.03,4,https://api.spotify.com/v1/tracks/7i2DJ88J7jQ8K7zqFX2fW8,,0.447,,,
